date,adult,medical,violence
2015-05-30,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-08-18,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2016-09-19,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2021-05-05,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2021-06-11,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-07-08,VERY_UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-01-07,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2022-01-15,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2024-07-08,POSSIBLE,VERY_LIKELY,VERY_LIKELY
2024-07-07,POSSIBLE,LIKELY,VERY_LIKELY
2024-06-10,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-09-08,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-06-11,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-03-06,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-10,VERY_UNLIKELY,LIKELY,VERY_LIKELY
2017-12-24,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2023-12-28,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-08-07,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2019-03-19,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2013-05-20,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2020-11-13,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-07,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-07-09,UNLIKELY,UNLIKELY,LIKELY
2020-09-17,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-28,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-02-09,VERY_UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-05-02,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-12-11,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-04-08,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-09-17,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-07,UNLIKELY,POSSIBLE,VERY_LIKELY
2024-04-02,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2020-09-14,POSSIBLE,UNLIKELY,UNLIKELY
2024-05-24,LIKELY,POSSIBLE,UNLIKELY
2022-08-29,POSSIBLE,UNLIKELY,POSSIBLE
2021-05-03,POSSIBLE,UNLIKELY,UNLIKELY
2024-02-12,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2020-09-18,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2019-06-08,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-09,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-04-06,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-06-19,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-11-29,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-07-08,UNLIKELY,LIKELY,VERY_LIKELY
2024-04-27,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
