BS実況(無料),なんでも実況G,ニュース速報,ニュース速報+,ニュー速VIP,番組ch(NHK),番組ch(TBS),番組ch(フジ),番組ch(朝日),芸スポ速報+
0.0,0.0,80199.20588235294,97108.0,272602.76470588235,37275.14705882353,36032.17647058824,76183.20588235294,32696.41176470588,35728.382352941175
0.0,0.0,89975.48387096774,93245.09677419355,305815.3870967742,79996.29032258065,41230.6129032258,60136.032258064515,40186.48387096774,54762.1935483871
0.0,0.0,77497.13333333333,89244.26666666666,239322.86666666667,40498.166666666664,40153.066666666666,60626.933333333334,41054.833333333336,41097.666666666664
0.0,0.0,89549.89655172414,87991.0,247320.12903225806,43050.16129032258,42425.54838709677,64248.22580645161,43061.0,43643.709677419356
0.0,0.0,89758.16666666667,91682.8,238720.06666666668,41899.23333333333,39375.73333333333,60671.933333333334,42920.333333333336,48166.333333333336
0.0,0.0,87668.90322580645,84870.80645161291,238803.8064516129,43252.83870967742,43912.54838709677,63410.93548387097,46521.41935483871,43528.354838709674
0.0,0.0,105534.80645161291,87809.12903225806,254303.35483870967,48235.45161290323,40110.709677419356,66127.7741935484,52685.22580645161,42609.87096774193
0.0,0.0,104995.17857142857,92346.46428571429,235332.82142857142,39157.71428571428,33864.67857142857,57962.392857142855,48097.32142857143,44160.07142857143
0.0,0.0,98313.51612903226,82023.19354838709,208840.4516129032,37186.12903225807,49917.290322580644,54165.16129032258,46704.3870967742,52416.51612903226
0.0,0.0,99884.66666666667,99579.73333333334,208830.13333333333,39107.166666666664,35668.6,60618.26666666667,42186.03333333333,57847.666666666664
0.0,0.0,96175.93548387097,101665.70967741935,218119.64516129033,44888.54838709677,34263.25806451613,58710.93548387097,42213.967741935485,44304.709677419356
0.0,0.0,98774.63333333333,101091.23333333334,226305.93333333332,41288.46666666667,28741.1,60211.13333333333,43636.566666666666,51740.36666666667
0.0,0.0,107072.12903225806,107130.12903225806,256826.48387096773,44057.032258064515,30718.129032258064,69809.58064516129,41823.45161290323,46473.096774193546
0.0,0.0,116398.74193548386,113748.32258064517,259834.12903225806,53845.22580645161,47479.87096774193,61852.6129032258,44704.22580645161,67254.19354838709
0.0,0.0,121062.83333333333,114170.1,274094.63333333336,45035.566666666666,38007.5,62963.9,50763.066666666666,56029.8
0.0,0.0,106945.2258064516,101913.25806451614,261100.70967741936,44127.6129032258,39279.67741935484,64254.12903225807,43277.74193548387,51518.93548387097
0.0,0.0,95691.36666666667,92749.53333333334,188424.36666666667,42965.13333333333,30455.7,52651.0,36449.86666666667,46035.2
0.0,0.0,101438.74193548386,99956.70967741935,235161.25806451612,45775.41935483871,35839.1935483871,62714.096774193546,44687.51612903226,47267.290322580644
0.0,0.0,89180.41935483871,77154.87096774194,139659.1935483871,43815.06451612903,29202.064516129034,48802.354838709674,39156.93548387097,29535.548387096773
0.0,0.0,102009.32142857143,79549.53571428571,166702.82142857142,71150.75,24392.75,49136.32142857143,38754.42857142857,44384.0
0.0,0.0,132252.13333333333,100096.0,206139.83333333334,47217.933333333334,28258.2,52886.13333333333,39536.7,40340.066666666666
0.0,0.0,87015.06666666667,82297.36666666667,158557.4,35368.3,27870.7,42096.166666666664,35914.23333333333,32064.533333333333
0.0,0.0,74628.83870967742,79746.41935483871,135496.90322580645,38323.645161290326,26556.354838709678,38784.096774193546,39823.22580645161,29124.064516129034
0.0,0.0,86984.23333333334,70049.26666666666,191215.96666666667,67000.03333333334,46920.36666666667,56713.76666666667,46648.6,55754.7
0.0,0.0,81184.41935483871,73052.3870967742,176813.5806451613,42164.83870967742,28318.032258064515,47707.6129032258,33044.93548387097,38306.1935483871
0.0,0.0,82064.2258064516,65986.96774193548,142735.12903225806,46025.51612903226,22526.58064516129,38437.22580645161,29487.90322580645,24960.451612903227
0.0,0.0,86801.10714285714,70524.21428571429,142887.75,36230.28571428572,30227.178571428572,38039.21428571428,34907.5,24676.14285714286
0.0,0.0,102769.96774193548,82690.70967741935,173351.09677419355,40532.709677419356,32108.709677419356,58415.48387096774,39118.0,39100.06451612903
0.0,0.0,109490.0,104260.76666666666,157133.63333333333,47550.23333333333,28362.833333333332,51251.53333333333,39314.26666666667,37545.26666666667
0.0,0.0,84222.83870967742,66470.06451612903,127116.87096774194,39543.74193548387,30426.225806451614,47279.645161290326,38758.032258064515,31184.83870967742
0.0,0.0,85862.19354838709,52905.290322580644,138893.25806451612,39430.903225806454,29060.064516129034,48059.6129032258,50446.6129032258,23875.1935483871
0.0,0.0,112092.14285714286,84503.0,181618.67857142858,48427.82142857143,30882.535714285714,55785.5,48072.42857142857,46161.46428571428
0.0,0.0,203808.5806451613,172526.32258064515,224628.16129032258,107755.0,36140.74193548387,66054.06451612903,47893.3870967742,44080.032258064515
