year_month,ita_name,responses
2008-07,ニュース速報,80199.20588235294
2008-07,ニュース速報+,97108.0
2008-07,ニュー速VIP,272602.76470588235
2008-07,番組ch(NHK),37275.14705882353
2008-07,番組ch(TBS),36032.17647058824
2008-07,番組ch(フジ),76183.20588235294
2008-07,番組ch(朝日),32696.41176470588
2008-07,芸スポ速報+,35728.382352941175
2008-08,ニュース速報,89975.48387096774
2008-08,ニュース速報+,93245.09677419355
2008-08,ニュー速VIP,305815.3870967742
2008-08,番組ch(NHK),79996.29032258065
2008-08,番組ch(TBS),41230.6129032258
2008-08,番組ch(フジ),60136.032258064515
2008-08,番組ch(朝日),40186.48387096774
2008-08,芸スポ速報+,54762.1935483871
2008-09,ニュース速報,77497.13333333333
2008-09,ニュース速報+,89244.26666666666
2008-09,ニュー速VIP,239322.86666666667
2008-09,番組ch(NHK),40498.166666666664
2008-09,番組ch(TBS),40153.066666666666
2008-09,番組ch(フジ),60626.933333333334
2008-09,番組ch(朝日),41054.833333333336
2008-09,芸スポ速報+,41097.666666666664
2008-10,ニュース速報,89549.89655172414
2008-10,ニュース速報+,87991.0
2008-10,ニュー速VIP,247320.12903225806
2008-10,番組ch(NHK),43050.16129032258
2008-10,番組ch(TBS),42425.54838709677
2008-10,番組ch(フジ),64248.22580645161
2008-10,番組ch(朝日),43061.0
2008-10,芸スポ速報+,43643.709677419356
2008-11,ニュース速報,89758.16666666667
2008-11,ニュース速報+,91682.8
2008-11,ニュー速VIP,238720.06666666668
2008-11,番組ch(NHK),41899.23333333333
2008-11,番組ch(TBS),39375.73333333333
2008-11,番組ch(フジ),60671.933333333334
2008-11,番組ch(朝日),42920.333333333336
2008-11,芸スポ速報+,48166.333333333336
2008-12,ニュース速報,87668.90322580645
2008-12,ニュース速報+,84870.80645161291
2008-12,ニュー速VIP,238803.8064516129
2008-12,番組ch(NHK),43252.83870967742
2008-12,番組ch(TBS),43912.54838709677
2008-12,番組ch(フジ),63410.93548387097
2008-12,番組ch(朝日),46521.41935483871
2008-12,芸スポ速報+,43528.354838709674
2009-01,ニュース速報,105534.80645161291
2009-01,ニュース速報+,87809.12903225806
2009-01,ニュー速VIP,254303.35483870967
2009-01,番組ch(NHK),48235.45161290323
2009-01,番組ch(TBS),40110.709677419356
2009-01,番組ch(フジ),66127.7741935484
2009-01,番組ch(朝日),52685.22580645161
2009-01,芸スポ速報+,42609.87096774193
2009-02,ニュース速報,104995.17857142857
2009-02,ニュース速報+,92346.46428571429
2009-02,ニュー速VIP,235332.82142857142
2009-02,番組ch(NHK),39157.71428571428
2009-02,番組ch(TBS),33864.67857142857
2009-02,番組ch(フジ),57962.392857142855
2009-02,番組ch(朝日),48097.32142857143
2009-02,芸スポ速報+,44160.07142857143
2009-03,ニュース速報,98313.51612903226
2009-03,ニュース速報+,82023.19354838709
2009-03,ニュー速VIP,208840.4516129032
2009-03,番組ch(NHK),37186.12903225807
2009-03,番組ch(TBS),49917.290322580644
2009-03,番組ch(フジ),54165.16129032258
2009-03,番組ch(朝日),46704.3870967742
2009-03,芸スポ速報+,52416.51612903226
2009-04,ニュース速報,99884.66666666667
2009-04,ニュース速報+,99579.73333333334
2009-04,ニュー速VIP,208830.13333333333
2009-04,番組ch(NHK),39107.166666666664
2009-04,番組ch(TBS),35668.6
2009-04,番組ch(フジ),60618.26666666667
2009-04,番組ch(朝日),42186.03333333333
2009-04,芸スポ速報+,57847.666666666664
2009-05,ニュース速報,96175.93548387097
2009-05,ニュース速報+,101665.70967741935
2009-05,ニュー速VIP,218119.64516129033
2009-05,番組ch(NHK),44888.54838709677
2009-05,番組ch(TBS),34263.25806451613
2009-05,番組ch(フジ),58710.93548387097
2009-05,番組ch(朝日),42213.967741935485
2009-05,芸スポ速報+,44304.709677419356
2009-06,ニュース速報,98774.63333333333
2009-06,ニュース速報+,101091.23333333334
2009-06,ニュー速VIP,226305.93333333332
2009-06,番組ch(NHK),41288.46666666667
2009-06,番組ch(TBS),28741.1
2009-06,番組ch(フジ),60211.13333333333
2009-06,番組ch(朝日),43636.566666666666
2009-06,芸スポ速報+,51740.36666666667
2009-07,ニュース速報,107072.12903225806
2009-07,ニュース速報+,107130.12903225806
2009-07,ニュー速VIP,256826.48387096773
2009-07,番組ch(NHK),44057.032258064515
2009-07,番組ch(TBS),30718.129032258064
2009-07,番組ch(フジ),69809.58064516129
2009-07,番組ch(朝日),41823.45161290323
2009-07,芸スポ速報+,46473.096774193546
2009-08,ニュース速報,116398.74193548386
2009-08,ニュース速報+,113748.32258064517
2009-08,ニュー速VIP,259834.12903225806
2009-08,番組ch(NHK),53845.22580645161
2009-08,番組ch(TBS),47479.87096774193
2009-08,番組ch(フジ),61852.6129032258
2009-08,番組ch(朝日),44704.22580645161
2009-08,芸スポ速報+,67254.19354838709
2009-09,ニュース速報,121062.83333333333
2009-09,ニュース速報+,114170.1
2009-09,ニュー速VIP,274094.63333333336
2009-09,番組ch(NHK),45035.566666666666
2009-09,番組ch(TBS),38007.5
2009-09,番組ch(フジ),62963.9
2009-09,番組ch(朝日),50763.066666666666
2009-09,芸スポ速報+,56029.8
2009-10,ニュース速報,106945.2258064516
2009-10,ニュース速報+,101913.25806451614
2009-10,ニュー速VIP,261100.70967741936
2009-10,番組ch(NHK),44127.6129032258
2009-10,番組ch(TBS),39279.67741935484
2009-10,番組ch(フジ),64254.12903225807
2009-10,番組ch(朝日),43277.74193548387
2009-10,芸スポ速報+,51518.93548387097
2009-11,ニュース速報,95691.36666666667
2009-11,ニュース速報+,92749.53333333334
2009-11,ニュー速VIP,188424.36666666667
2009-11,番組ch(NHK),42965.13333333333
2009-11,番組ch(TBS),30455.7
2009-11,番組ch(フジ),52651.0
2009-11,番組ch(朝日),36449.86666666667
2009-11,芸スポ速報+,46035.2
2009-12,ニュース速報,101438.74193548386
2009-12,ニュース速報+,99956.70967741935
2009-12,ニュー速VIP,235161.25806451612
2009-12,番組ch(NHK),45775.41935483871
2009-12,番組ch(TBS),35839.1935483871
2009-12,番組ch(フジ),62714.096774193546
2009-12,番組ch(朝日),44687.51612903226
2009-12,芸スポ速報+,47267.290322580644
2010-01,ニュース速報,89180.41935483871
2010-01,ニュース速報+,77154.87096774194
2010-01,ニュー速VIP,139659.1935483871
2010-01,番組ch(NHK),43815.06451612903
2010-01,番組ch(TBS),29202.064516129034
2010-01,番組ch(フジ),48802.354838709674
2010-01,番組ch(朝日),39156.93548387097
2010-01,芸スポ速報+,29535.548387096773
2010-02,ニュース速報,102009.32142857143
2010-02,ニュース速報+,79549.53571428571
2010-02,ニュー速VIP,166702.82142857142
2010-02,番組ch(NHK),71150.75
2010-02,番組ch(TBS),24392.75
2010-02,番組ch(フジ),49136.32142857143
2010-02,番組ch(朝日),38754.42857142857
2010-02,芸スポ速報+,44384.0
2010-03,ニュース速報,132252.13333333333
2010-03,ニュース速報+,100096.0
2010-03,ニュー速VIP,206139.83333333334
2010-03,番組ch(NHK),47217.933333333334
2010-03,番組ch(TBS),28258.2
2010-03,番組ch(フジ),52886.13333333333
2010-03,番組ch(朝日),39536.7
2010-03,芸スポ速報+,40340.066666666666
2010-04,ニュース速報,87015.06666666667
2010-04,ニュース速報+,82297.36666666667
2010-04,ニュー速VIP,158557.4
2010-04,番組ch(NHK),35368.3
2010-04,番組ch(TBS),27870.7
2010-04,番組ch(フジ),42096.166666666664
2010-04,番組ch(朝日),35914.23333333333
2010-04,芸スポ速報+,32064.533333333333
2010-05,ニュース速報,74628.83870967742
2010-05,ニュース速報+,79746.41935483871
2010-05,ニュー速VIP,135496.90322580645
2010-05,番組ch(NHK),38323.645161290326
2010-05,番組ch(TBS),26556.354838709678
2010-05,番組ch(フジ),38784.096774193546
2010-05,番組ch(朝日),39823.22580645161
2010-05,芸スポ速報+,29124.064516129034
2010-06,ニュース速報,86984.23333333334
2010-06,ニュース速報+,70049.26666666666
2010-06,ニュー速VIP,191215.96666666667
2010-06,番組ch(NHK),67000.03333333334
2010-06,番組ch(TBS),46920.36666666667
2010-06,番組ch(フジ),56713.76666666667
2010-06,番組ch(朝日),46648.6
2010-06,芸スポ速報+,55754.7
2010-07,ニュース速報,81184.41935483871
2010-07,ニュース速報+,73052.3870967742
2010-07,ニュー速VIP,176813.5806451613
2010-07,番組ch(NHK),42164.83870967742
2010-07,番組ch(TBS),28318.032258064515
2010-07,番組ch(フジ),47707.6129032258
2010-07,番組ch(朝日),33044.93548387097
2010-07,芸スポ速報+,38306.1935483871
2010-08,ニュース速報,82064.2258064516
2010-08,ニュース速報+,65986.96774193548
2010-08,ニュー速VIP,142735.12903225806
2010-08,番組ch(NHK),46025.51612903226
2010-08,番組ch(TBS),22526.58064516129
2010-08,番組ch(フジ),38437.22580645161
2010-08,番組ch(朝日),29487.90322580645
2010-08,芸スポ速報+,24960.451612903227
2010-09,ニュース速報,86801.10714285714
2010-09,ニュース速報+,70524.21428571429
2010-09,ニュー速VIP,142887.75
2010-09,番組ch(NHK),36230.28571428572
2010-09,番組ch(TBS),30227.178571428572
2010-09,番組ch(フジ),38039.21428571428
2010-09,番組ch(朝日),34907.5
2010-09,芸スポ速報+,24676.14285714286
2010-10,ニュース速報,102769.96774193548
2010-10,ニュース速報+,82690.70967741935
2010-10,ニュー速VIP,173351.09677419355
2010-10,番組ch(NHK),40532.709677419356
2010-10,番組ch(TBS),32108.709677419356
2010-10,番組ch(フジ),58415.48387096774
2010-10,番組ch(朝日),39118.0
2010-10,芸スポ速報+,39100.06451612903
2010-11,ニュース速報,109490.0
2010-11,ニュース速報+,104260.76666666666
2010-11,ニュー速VIP,157133.63333333333
2010-11,番組ch(NHK),47550.23333333333
2010-11,番組ch(TBS),28362.833333333332
2010-11,番組ch(フジ),51251.53333333333
2010-11,番組ch(朝日),39314.26666666667
2010-11,芸スポ速報+,37545.26666666667
2010-12,ニュース速報,84222.83870967742
