year_month,responses
2008-07,56839643
2008-08,53406350
2008-09,47334911
2008-10,52174848
2008-11,49061229
2008-12,49351850
2009-01,52355052
2009-02,47403924
2009-03,47514435
2009-04,49628795
2009-05,49723448
2009-06,47925673
2009-07,53066618
2009-08,56630407
2009-09,55622396
2009-10,53184423
2009-11,41210731
2009-12,47370220
2010-01,35990669
2010-02,37020863
2010-03,45695315
2010-04,36925475
2010-05,37624988
2010-06,45913487
2010-07,39758197
2010-08,35441229
2010-09,37277018
2010-10,53395765
2010-11,48829511
2010-12,42932036
2011-01,43685194
2011-02,49324107
2011-03,67845959
2011-04,62942188
2011-05,65243034
2011-06,61709772
2011-07,71097108
2011-08,70315183
2011-09,70428089
2011-10,71626737
2011-11,67775798
2011-12,67556788
2012-01,65827445
2012-02,58654445
2012-03,63908195
2012-04,56542045
2012-05,65151827
2012-06,60534512
2012-07,66700587
2012-08,67747696
2012-09,58689470
2012-10,58967635
2012-11,52980823
2012-12,55353477
2013-01,54876346
2013-02,50785388
2013-03,58323602
2013-04,47862333
2013-05,38597778
2013-06,46329954
2013-07,42458971
2013-08,47990598
2013-09,68070874
2013-10,69822588
2013-11,64480346
2013-12,51331684
2014-01,53307524
2014-02,52607351
2014-03,59157538
2014-04,54744407
2014-05,60915423
2014-06,60901739
2014-07,59213119
2014-08,51549885
2014-09,64193943
2014-10,65085707
2014-11,60461318
2014-12,39409345
2015-01,49872606
2015-02,55335938
2015-03,58872792
2015-04,55142995
2015-05,60797104
2015-06,60170948
2015-07,63509143
2015-08,64890939
2015-09,60678793
2015-10,59844011
2015-11,59669826
2015-12,57942160
2016-01,62217428
2016-02,57176356
2016-03,62834419
2016-04,64614668
2016-05,66628012
2016-06,63941751
2016-07,65775335
2016-08,66001958
2016-09,62370802
2016-10,63566520
2016-11,58315313
2016-12,59796785
2017-01,61943837
2017-02,56024160
2017-03,64132598
2017-04,59455238
2017-05,61830470
2017-06,61215896
2017-07,62793869
2017-08,62082323
2017-09,59155656
2017-10,59780468
2017-11,56330056
2017-12,56023133
2018-01,57852461
2018-02,53495488
2018-03,55958986
2018-04,58407381
2018-05,60489084
2018-06,58902132
2018-07,61060026
2018-08,61353855
2018-09,59833172
2018-10,58139094
2018-11,55182151
2018-12,54229227
2019-01,56727087
2019-02,51497469
2019-03,58059232
2019-04,56875647
2019-05,61724260
2019-06,60451351
2019-07,63520860
2019-08,62990864
2019-09,58638384
2019-10,59993987
2019-11,55171880
2019-12,55598310
2020-01,57353797
2020-02,57641888
2020-03,64731833
2020-04,64212560
2020-05,61899733
2020-06,55758664
2020-07,60404900
2020-08,61679962
2020-09,58485326
2020-10,58677067
2020-11,56463816
2020-12,55460482
2021-01,57589650
2021-02,49441945
2021-03,54339650
2021-04,54676207
2021-05,58562487
2021-06,54212139
2021-07,59160674
2021-08,60514194
2021-09,55234158
2021-10,54025621
2021-11,48602860
2021-12,48221857
2022-01,49916204
2022-02,47824963
2022-03,50986528
2022-04,48738181
2022-05,51447549
2022-06,48593290
2022-07,52042957
2022-08,47690025
2022-09,46134001
2022-10,45595977
2022-11,42459391
2022-12,43135185
2023-01,44473678
2023-02,38182425
2023-03,44186506
2023-04,38776670
2023-05,40537505
2023-06,37137005
2023-07,36442365
2023-08,42931292
2023-09,39652439
2023-10,31861824
2023-11,32480601
2023-12,34412540
2024-01,36533715
2024-02,33395789
2024-03,37841566
2024-04,31235638
2024-05,28837661
2024-06,28705823
2024-07,27078437
